TIME    	VOLTAGE 	CURRENT
0.000000	0.000000	-68.616904
0.000121	12.552760	-67.361291
0.000242	25.087383	-66.008352
0.000363	37.585759	-64.560042
0.000484	50.029830	-63.018454
0.000605	62.401616	-61.385814
0.000726	74.683242	-59.664482
0.000847	86.856963	-57.856944
0.000968	98.905190	-55.965813
0.001089	110.810515	-53.993821
0.001210	122.555737	-51.943816
0.001331	134.123887	-49.818761
0.001452	145.498250	-47.621726
0.001573	156.662392	-45.355886
0.001694	167.600183	-43.024514
0.001815	178.295819	-40.630978
0.001936	188.733847	-38.178738
0.002057	198.899185	-35.671335
0.002178	208.777148	-33.112393
0.002299	218.353462	-30.505610
0.002420	227.614291	-27.854751
0.002541	236.546255	-25.163646
0.002662	245.136449	-22.436184
0.002783	253.372461	-19.676306
0.002904	261.242392	-16.887998
0.003025	268.734871	-14.075290
0.003146	275.839072	-11.242246
0.003267	282.544732	-8.392958
0.003388	288.842161	-5.531544
0.003509	294.722260	-2.662138
0.003630	300.176535	0.211115
0.003751	305.197104	3.084062
0.003872	309.776714	5.952554
0.003993	313.908748	8.812445
0.004114	317.587235	11.659604
0.004235	320.806862	14.489916
0.004356	323.562975	17.299293
0.004477	325.851594	20.083675
0.004598	327.669410	22.839040
0.004719	329.013799	25.561406
0.004840	329.882817	28.246840
0.004961	330.275209	30.891461
0.005082	330.190407	33.491450
0.005203	329.628535	36.043050
0.005324	328.590405	38.542573
0.005445	327.077515	40.986408
0.005566	325.092053	43.371025
0.005687	322.636886	45.692978
0.005808	319.715562	47.948912
0.005929	316.332302	50.135568
0.006050	312.491994	52.249786
0.006171	308.200187	54.288512
0.006292	303.463081	56.248800
0.006413	298.287522	58.127817
0.006534	292.680986	59.922850
0.006655	286.651575	61.631304
0.006776	280.207999	63.250711
0.006897	273.359569	64.778731
0.007018	266.116180	66.213156
0.007139	258.488297	67.551915
0.007260	250.486941	68.793072
0.007381	242.123672	69.934835
0.007502	233.410575	70.975553
0.007623	224.360239	71.913723
0.007744	214.985738	72.747990
0.007865	205.300619	73.477148
0.007986	195.318875	74.100144
0.008107	185.054927	74.616077
0.008228	174.523605	75.024202
0.008349	163.740125	75.323930
0.008470	152.720068	75.514827
0.008591	141.479356	75.596617
0.008712	130.034229	75.569183
0.008833	118.401225	75.432565
0.008954	106.597150	75.186958
0.009075	94.639060	74.832719
0.009196	82.544232	74.370358
0.009317	70.330141	73.800545
0.009438	58.014435	73.124103
0.009559	45.614908	72.342008
0.009680	33.149474	71.455391
0.009801	20.636146	70.465532
0.009922	8.093001	69.373863
0.010043	-4.461837	68.181959
0.010164	-17.010228	66.891544
0.010285	-29.534042	65.504482
0.010406	-42.015185	64.022777
0.010527	-54.435622	62.448569
0.010648	-66.777409	60.784134
0.010769	-79.022713	59.031875
0.010890	-91.153843	57.194326
0.011011	-103.153271	55.274139
0.011132	-115.003659	53.274091
0.011253	-126.687886	51.197071
0.011374	-138.189069	49.046079
0.011495	-149.490593	46.824224
0.011616	-160.576127	44.534715
0.011737	-171.429655	42.180861
0.011858	-182.035496	39.766063
0.011979	-192.378325	37.293810
0.012100	-202.443200	34.767673
0.012221	-212.215577	32.191302
0.012342	-221.681339	29.568421
0.012463	-230.826807	26.902817
0.012584	-239.638768	24.198344
0.012705	-248.104492	21.458908
0.012826	-256.211745	18.688468
0.012947	-263.948814	15.891026
0.013068	-271.304521	13.070624
0.013189	-278.268238	10.231337
0.013310	-284.829904	7.377267
0.013431	-290.980037	4.512539
0.013552	-296.709752	1.641290
0.013673	-302.010770	-1.232329
0.013794	-306.875433	-4.104169
0.013915	-311.296712	-6.970078
0.014036	-315.268218	-9.825917
0.014157	-318.784214	-12.667559
0.014278	-321.839619	-15.490898
0.014399	-324.430019	-18.291856
0.014520	-326.551671	-21.066385
0.014641	-328.201510	-23.810476
0.014762	-329.377153	-26.520166
0.014883	-330.076899	-29.191538
0.015004	-330.299739	-31.820733
0.015125	-330.045351	-34.403952
0.015246	-329.314101	-36.937463
0.015367	-328.107047	-39.417606
0.015488	-326.425933	-41.840797
0.015609	-324.273187	-44.203535
0.015730	-321.651919	-46.502406
0.015851	-318.565918	-48.734089
0.015972	-315.019642	-50.895359
0.016093	-311.018215	-52.983093
0.016214	-306.567417	-54.994276
0.016335	-301.673680	-56.926001
0.016456	-296.344075	-58.775478
0.016577	-290.586301	-60.540034
0.016698	-284.408679	-62.217119
0.016819	-277.820132	-63.804311
0.016940	-270.830182	-65.299316
0.017061	-263.448926	-66.699975
0.017182	-255.687031	-68.004263
0.017303	-247.555710	-69.210296
0.017424	-239.066711	-70.316331
0.017545	-230.232301	-71.320771
0.017666	-221.065244	-72.222165
0.017787	-211.578783	-73.019209
0.017908	-201.786626	-73.710753
0.018029	-191.702921	-74.295797
0.018150	-181.342237	-74.773495
0.018271	-170.719543	-75.143159
0.018392	-159.850188	-75.404252
0.018513	-148.749875	-75.556400
0.018634	-137.434644	-75.599380
0.018755	-125.920842	-75.533132
0.018876	-114.225105	-75.357751
0.018997	-102.364332	-75.073491
0.019118	-90.355660	-74.680762
0.019239	-78.216438	-74.180131
0.019360	-65.964207	-73.572323
0.019481	-53.616668	-72.858214
0.019602	-41.191662	-72.038838
0.019723	-28.707141	-71.115377
0.019844	-16.181142	-70.089166
